STATE,COUNTY,RISK_SCORE,HAZARD
Alabama,Madison,91.95036589245944,Cold Wave
Alabama,DeKalb,88.5141584473433,Cold Wave
Alabama,Jackson,85.49156856506522,Cold Wave
Alabama,Morgan,81.57811008590518,Cold Wave
Alabama,Cullman,79.8281896277442,Cold Wave
Alabama,Lauderdale,78.39643652561249,Cold Wave
Alabama,Limestone,77.69646834234808,Cold Wave
Alabama,Marshall,73.08304167992364,Cold Wave
Alabama,Colbert,69.93318485523386,Cold Wave
Alabama,Lawrence,66.1151765828826,Cold Wave
Alaska,Fairbanks North Star,94.55933821189946,Cold Wave
Alaska,North Slope,92.20489977728286,Cold Wave
Alaska,Yukon-Koyukuk,76.16926503340757,Cold Wave
Alaska,Bethel,61.883550747693285,Cold Wave
Alaska,Northwest Arctic,59.17912822144448,Cold Wave
Alaska,Nome,51.7021953547566,Cold Wave
Alaska,Southeast Fairbanks,40.2163538020999,Cold Wave
Alaska,Skagway,32.42125357938275,Cold Wave
Alaska,Chugach,31.657651924912507,Cold Wave
Alaska,Denali,31.24403436207445,Cold Wave
Arizona,Coconino,67.99236398345529,Cold Wave
Arizona,Navajo,42.9207763283487,Cold Wave
Arizona,Apache,39.51638561883551,Cold Wave
Arizona,Greenlee,30.38498250079542,Cold Wave
Arizona,Cochise,29.81228125994273,Cold Wave
Arizona,Graham,29.430480432707608,Cold Wave
Arizona,Pima,29.207763283487115,Cold Wave
Arizona,Pinal,29.14412981228126,Cold Wave
Arizona,Gila,28.635062042634424,Cold Wave
Arizona,Yavapai,28.2532612153993,Cold Wave
Arkansas,Sebastian,98.21826280623608,Cold Wave
Arkansas,Benton,97.48647788736876,Cold Wave
Arkansas,Washington,96.91377664651607,Cold Wave
Arkansas,Pulaski,96.78650970410436,Cold Wave
Arkansas,Carroll,95.70474069360485,Cold Wave
Arkansas,Pope,94.52752147629653,Cold Wave
Arkansas,Crawford,94.01845370664968,Cold Wave
Arkansas,Madison,93.63665287941457,Cold Wave
Arkansas,Faulkner,93.00031816735603,Cold Wave
Arkansas,Sharp,91.44129812281261,Cold Wave
California,Modoc,60.48361438116449,Cold Wave
California,Siskiyou,55.20203627107859,Cold Wave
California,Shasta,27.648743238943684,Cold Wave
California,Lassen,27.45784282532612,Cold Wave
California,Mono,27.330575882914417,Cold Wave
California,Inyo,26.91695832007636,Cold Wave
California,Alameda,0.0,Cold Wave
California,Alpine,0.0,Cold Wave
California,Amador,0.0,Cold Wave
California,Butte,0.0,Cold Wave
Colorado,Weld,99.14094813872096,Cold Wave
Colorado,Broomfield,98.82278078269168,Cold Wave
Colorado,Larimer,98.63188036907412,Cold Wave
Colorado,El Paso,98.4727966910595,Cold Wave
Colorado,Douglas,98.18644607063317,Cold Wave
Colorado,Denver,97.9000954502068,Cold Wave
Colorado,Yuma,97.83646197900096,Cold Wave
Colorado,Adams,94.4638880050907,Cold Wave
Colorado,Kit Carson,94.24117085587021,Cold Wave
Colorado,Arapahoe,92.74578428253261,Cold Wave
Connecticut,Hartford,73.14667515112949,Cold Wave
Connecticut,New Haven,57.6837416481069,Cold Wave
Connecticut,Fairfield,57.14285714285714,Cold Wave
Connecticut,Litchfield,51.47947820553611,Cold Wave
Connecticut,New London,42.25262488068723,Cold Wave
Connecticut,Middlesex,37.5119312758511,Cold Wave
Connecticut,Tolland,37.06649697741012,Cold Wave
Connecticut,Windham,36.71651288577792,Cold Wave
Delaware,Kent,0.0,Cold Wave
Delaware,New Castle,0.0,Cold Wave
Delaware,Sussex,0.0,Cold Wave
District of Columbia,District of Columbia,59.02004454342984,Cold Wave
Florida,Brevard,99.01368119630925,Cold Wave
Florida,Seminole,98.69551384027999,Cold Wave
Florida,Polk,98.37734648425072,Cold Wave
Florida,Osceola,98.15462933503024,Cold Wave
Florida,Orange,97.45466115176583,Cold Wave
Florida,St. Lucie,97.23194400254533,Cold Wave
Florida,Pasco,96.97741011772192,Cold Wave
Florida,Miami-Dade,95.4502068087814,Cold Wave
Florida,Manatee,95.25930639516386,Cold Wave
Florida,Volusia,95.10022271714922,Cold Wave
Georgia,Gilmer,92.80941775373849,Cold Wave
Georgia,Murray,89.27776010181356,Cold Wave
Georgia,White,82.53261215399299,Cold Wave
Georgia,Cherokee,82.34171174037543,Cold Wave
Georgia,Whitfield,79.00095450206808,Cold Wave
Georgia,Gordon,78.17371937639199,Cold Wave
Georgia,Lumpkin,76.61469933184856,Cold Wave
Georgia,Walker,75.88291441298122,Cold Wave
Georgia,Bartow,75.8510976773783,Cold Wave
Georgia,Pickens,74.61024498886414,Cold Wave
Hawaii,Hawaii,0.0,Cold Wave
Hawaii,Honolulu,0.0,Cold Wave
Hawaii,Kalawao,0.0,Cold Wave
Hawaii,Kauai,0.0,Cold Wave
Hawaii,Maui,0.0,Cold Wave
Idaho,Kootenai,99.45911549475024,Cold Wave
Idaho,Jefferson,98.40916321985365,Cold Wave
Idaho,Bingham,98.02736239261853,Cold Wave
Idaho,Bonneville,97.80464524339803,Cold Wave
Idaho,Madison,95.95927457842824,Cold Wave
Idaho,Bannock,95.51384027998729,Cold Wave
Idaho,Cassia,94.68660515431117,Cold Wave
Idaho,Twin Falls,94.27298759147313,Cold Wave
Idaho,Fremont,94.11390391345849,Cold Wave
Idaho,Minidoka,94.05027044225263,Cold Wave
Illinois,Cook,100.0,Cold Wave
Illinois,Lake,99.87273305758829,Cold Wave
Illinois,Will,99.71364937957365,Cold Wave
Illinois,Winnebago,99.58638243716196,Cold Wave
Illinois,Peoria,98.56824689786829,Cold Wave
Illinois,DeKalb,97.67737830098633,Cold Wave
Illinois,Kankakee,97.61374482978049,Cold Wave
Illinois,McLean,97.58192809417754,Cold Wave
Illinois,McHenry,97.35921094495704,Cold Wave
Illinois,Kendall,96.69105949729557,Cold Wave
Indiana,Lake,99.80909958638243,Cold Wave
Indiana,Tippecanoe,97.93191218580972,Cold Wave
Indiana,Porter,97.07286032453071,Cold Wave
Indiana,LaPorte,96.7228762328985,Cold Wave
Indiana,Marion,96.62742602608972,Cold Wave
Indiana,Allen,96.43652561247217,Cold Wave
Indiana,St. Joseph,93.92300349984093,Cold Wave
Indiana,Elkhart,93.6684696150175,Cold Wave
